@timestamp,sid,description,classification,severity,protocol,sourceipport,destinationipport,Anomaly,Anomaly_Score
"Oct 25, 2022 @ 23:46:17.889",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48506,0,0.29801176203818613
"Oct 25, 2022 @ 23:46:17.889",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48508,0,0.29801176203818613
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48484,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48486,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48488,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48490,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48492,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48494,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48496,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48498,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48500,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.888",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48502,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48466,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48468,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48470,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48472,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48474,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48476,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48478,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48480,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.887",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48482,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48446,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48448,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48450,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48452,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48454,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48456,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48458,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48460,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48462,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48464,0,0.2945300420078638
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48428,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48430,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48432,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48434,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48436,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48438,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48440,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48442,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48444,0,0.29502743058310443
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,172.18.1.3:9200,192.168.10.3:48408,1,2.1565740995229135
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48412,0,0.2950276781020875
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48414,0,0.2950276781020875
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48416,0,0.2950276781020875
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48418,0,0.2950276781020875
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48420,0,0.2950276781020875
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48422,0,0.2950276781020875
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48424,0,0.2950276781020875
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48426,0,0.2950276781020875
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,0.2905506856359352
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,0.2905506856359352
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,0.2905506856359352
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,0.2915442247021929
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,0.2915442247021929
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,0.2915442247021929
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,0.2915442247021929
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,0.2915442247021929
