@timestamp,sid,description,classification,severity,protocol,sourceipport,destinationipport,Anomaly,Anomaly_Score
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48454,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48456,0,-0.01355740616330492
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48458,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48460,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48462,0,-0.011330168005285579
"Oct 25, 2022 @ 23:46:17.886",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48464,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48428,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48430,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48432,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48434,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48436,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48438,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48440,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48442,0,-0.013157601804204666
"Oct 25, 2022 @ 23:46:17.885",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48444,0,-0.01091407550197443
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,172.18.1.3:9200,192.168.10.3:48408,0,-0.013805891767610434
